country,region,variety,process,moisture,elevation,target
Brazil,alta paulista (sao paulo),Mundo Novo,Natural / Dry,0.1100,low,fair
Brazil,carmo de minas,Bourbon,Semi-washed / Semi-pulped,0.0000,mid,fair
Brazil,carmo de minas,Yellow Bourbon,Semi-washed / Semi-pulped,0.1200,mid,great
Brazil,cerrado,Catuai,Natural / Dry,0.1100,low,fair
Brazil,cerrado,Catuai,Natural / Dry,0.1100,low,poor
Brazil,cerrado,Catuai,Natural / Dry,0.0000,mid,good
Brazil,cerrado,Catuai,Natural / Dry,0.1200,low,great
Brazil,cerrado,Catuai,Natural / Dry,0.1100,low,fair
Brazil,cerrado,Catuai,Semi-washed / Semi-pulped,0.1100,low,fair
Brazil,cerrado,Mundo Novo,Natural / Dry,0.0200,low,good
Brazil,cerrado,Peaberry,Semi-washed / Semi-pulped,0.1100,low,fair
Brazil,grama valley,Mundo Novo,Natural / Dry,0.1200,low,good
Brazil,grama valley,Mundo Novo,Natural / Dry,0.1200,low,fair
Brazil,grama valley,Mundo Novo,Natural / Dry,0.1200,low,great
Brazil,grama valley,Yellow Bourbon,Semi-washed / Semi-pulped,0.1100,mid,good
Brazil,high mogiana,Catuai,Natural / Dry,0.0000,low,good
Brazil,mantiqueira de minas,Bourbon,Pulped natural / honey,0.1100,low,poor
Brazil,mantiqueira de minas,Yellow Bourbon,Natural / Dry,0.1200,mid,poor
Brazil,mantiqueira de minas,Yellow Bourbon,other,0.1200,mid,poor
Brazil,mantiqueira de minas,Yellow Bourbon,Semi-washed / Semi-pulped,0.1000,mid,fair
Brazil,minas gerais,Catuai,Natural / Dry,0.1100,low,good
Brazil,minas gerais,Catuai,Natural / Dry,0.1100,low,poor
Brazil,minas gerais,Catuai,Semi-washed / Semi-pulped,0.1100,low,great
Brazil,minas gerais,Catuai,Washed / Wet,0.0900,low,fair
Brazil,minas gerais,Mundo Novo,Natural / Dry,0.1100,low,good
Brazil,minas gerais,Mundo Novo,Natural / Dry,0.1100,low,great
Brazil,mogiana,Mundo Novo,Natural / Dry,0.1100,low,good
Brazil,monte carmelo,Catuai,Natural / Dry,0.1100,low,poor
Brazil,monte carmelo,Mundo Novo,Natural / Dry,0.1100,low,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.0000,low,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.1000,low,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.0000,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.0700,mid,great
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,great
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,poor
Brazil,south of minas,Bourbon,Natural / Dry,0.1200,mid,great
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,mid,great
Brazil,south of minas,Bourbon,Natural / Dry,0.0200,low,great
Brazil,south of minas,Bourbon,Natural / Dry,0.0000,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.0000,low,poor
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,great
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.0200,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.0000,low,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,low,good
Brazil,south of minas,Bourbon,Natural / Dry,0.0000,low,good
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,0.1100,mid,great
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,0.1100,mid,great
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,0.0000,mid,good
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,0.1200,mid,good
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,0.1200,low,fair
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,0.0000,mid,poor
Brazil,south of minas,Bourbon,Washed / Wet,0.1000,mid,fair
Brazil,south of minas,Bourbon,Washed / Wet,0.0000,mid,great
Brazil,south of minas,Catuai,Natural / Dry,0.1200,low,great
Brazil,south of minas,Catuai,Semi-washed / Semi-pulped,0.1200,low,good
Brazil,south of minas,Catuai,Semi-washed / Semi-pulped,0.1000,mid,great
Brazil,south of minas,Catuai,Semi-washed / Semi-pulped,0.1200,low,good
Brazil,south of minas,Mundo Novo,Natural / Dry,0.0000,low,fair
Brazil,south of minas,Mundo Novo,Natural / Dry,0.1200,low,fair
Brazil,south of minas,Mundo Novo,Natural / Dry,0.1200,low,good
Brazil,south of minas,Mundo Novo,Natural / Dry,0.1200,low,poor
Brazil,south of minas,Mundo Novo,Semi-washed / Semi-pulped,0.1200,low,fair
Brazil,south of minas,Mundo Novo,Semi-washed / Semi-pulped,0.1200,low,fair
Brazil,south of minas,Mundo Novo,Washed / Wet,0.1100,low,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,fair
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,great
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,mid,poor
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,poor
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.1000,mid,fair
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,poor
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,fair
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0800,low,great
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0100,low,great
