region,variety,process,moisture,elevation,target
alta paulista (sao paulo),Mundo Novo,Natural / Dry,0.1100,low,fair
carmo de minas,Bourbon,Semi-washed / Semi-pulped,0.0000,mid,fair
carmo de minas,Yellow Bourbon,Semi-washed / Semi-pulped,0.1200,mid,great
cerrado,Catuai,Natural / Dry,0.1100,low,fair
cerrado,Catuai,Natural / Dry,0.1100,low,poor
cerrado,Catuai,Natural / Dry,0.0000,mid,good
cerrado,Catuai,Natural / Dry,0.1200,low,great
cerrado,Catuai,Natural / Dry,0.1100,low,fair
cerrado,Catuai,Semi-washed / Semi-pulped,0.1100,low,fair
cerrado,Mundo Novo,Natural / Dry,0.0200,low,good
cerrado,Peaberry,Semi-washed / Semi-pulped,0.1100,low,fair
grama valley,Mundo Novo,Natural / Dry,0.1200,low,good
grama valley,Mundo Novo,Natural / Dry,0.1200,low,fair
grama valley,Mundo Novo,Natural / Dry,0.1200,low,great
grama valley,Yellow Bourbon,Semi-washed / Semi-pulped,0.1100,mid,good
high mogiana,Catuai,Natural / Dry,0.0000,low,good
mantiqueira de minas,Bourbon,Pulped natural / honey,0.1100,low,poor
mantiqueira de minas,Yellow Bourbon,Natural / Dry,0.1200,mid,poor
mantiqueira de minas,Yellow Bourbon,other,0.1200,mid,poor
mantiqueira de minas,Yellow Bourbon,Semi-washed / Semi-pulped,0.1000,mid,fair
minas gerais,Catuai,Natural / Dry,0.1100,low,good
minas gerais,Catuai,Natural / Dry,0.1100,low,poor
minas gerais,Catuai,Semi-washed / Semi-pulped,0.1100,low,great
minas gerais,Catuai,Washed / Wet,0.0900,low,fair
minas gerais,Mundo Novo,Natural / Dry,0.1100,low,good
minas gerais,Mundo Novo,Natural / Dry,0.1100,low,great
mogiana,Mundo Novo,Natural / Dry,0.1100,low,good
monte carmelo,Catuai,Natural / Dry,0.1100,low,poor
monte carmelo,Mundo Novo,Natural / Dry,0.1100,low,fair
south of minas,Bourbon,Natural / Dry,0.1100,low,good
south of minas,Bourbon,Natural / Dry,0.1100,low,fair
south of minas,Bourbon,Natural / Dry,0.0000,low,fair
south of minas,Bourbon,Natural / Dry,0.1000,low,fair
south of minas,Bourbon,Natural / Dry,0.0000,low,good
south of minas,Bourbon,Natural / Dry,0.1100,low,good
south of minas,Bourbon,Natural / Dry,0.1100,low,fair
south of minas,Bourbon,Natural / Dry,0.1100,low,fair
south of minas,Bourbon,Natural / Dry,0.0700,mid,great
south of minas,Bourbon,Natural / Dry,0.1100,low,great
south of minas,Bourbon,Natural / Dry,0.1100,low,good
south of minas,Bourbon,Natural / Dry,0.1100,low,fair
south of minas,Bourbon,Natural / Dry,0.1100,low,good
south of minas,Bourbon,Natural / Dry,0.1100,low,poor
south of minas,Bourbon,Natural / Dry,0.1200,mid,great
south of minas,Bourbon,Natural / Dry,0.1100,mid,great
south of minas,Bourbon,Natural / Dry,0.0200,low,great
south of minas,Bourbon,Natural / Dry,0.0000,low,good
south of minas,Bourbon,Natural / Dry,0.1100,low,good
south of minas,Bourbon,Natural / Dry,0.0000,low,poor
south of minas,Bourbon,Natural / Dry,0.1100,low,good
south of minas,Bourbon,Natural / Dry,0.1100,low,great
south of minas,Bourbon,Natural / Dry,0.1100,low,good
south of minas,Bourbon,Natural / Dry,0.1100,low,good
south of minas,Bourbon,Natural / Dry,0.1100,low,fair
south of minas,Bourbon,Natural / Dry,0.0200,low,good
south of minas,Bourbon,Natural / Dry,0.0000,low,fair
south of minas,Bourbon,Natural / Dry,0.1100,low,good
south of minas,Bourbon,Natural / Dry,0.1100,low,good
south of minas,Bourbon,Natural / Dry,0.0000,low,good
south of minas,Bourbon,Semi-washed / Semi-pulped,0.1100,mid,great
south of minas,Bourbon,Semi-washed / Semi-pulped,0.1100,mid,great
south of minas,Bourbon,Semi-washed / Semi-pulped,0.0000,mid,good
south of minas,Bourbon,Semi-washed / Semi-pulped,0.1200,mid,good
south of minas,Bourbon,Semi-washed / Semi-pulped,0.1200,low,fair
south of minas,Bourbon,Semi-washed / Semi-pulped,0.0000,mid,poor
south of minas,Bourbon,Washed / Wet,0.1000,mid,fair
south of minas,Bourbon,Washed / Wet,0.0000,mid,great
south of minas,Catuai,Natural / Dry,0.1200,low,great
south of minas,Catuai,Semi-washed / Semi-pulped,0.1200,low,good
south of minas,Catuai,Semi-washed / Semi-pulped,0.1000,mid,great
south of minas,Catuai,Semi-washed / Semi-pulped,0.1200,low,good
south of minas,Mundo Novo,Natural / Dry,0.0000,low,fair
south of minas,Mundo Novo,Natural / Dry,0.1200,low,fair
south of minas,Mundo Novo,Natural / Dry,0.1200,low,good
south of minas,Mundo Novo,Natural / Dry,0.1200,low,poor
