country,variety,process,moisture,target
Brazil,Mundo Novo,Natural / Dry,0.1100,fair
Brazil,Bourbon,Semi-washed / Semi-pulped,0.0000,fair
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,0.1200,great
Brazil,Catuai,Natural / Dry,0.1100,fair
Brazil,Catuai,Natural / Dry,0.1100,poor
Brazil,Catuai,Natural / Dry,0.0000,good
Brazil,Catuai,Natural / Dry,0.1200,great
Brazil,Catuai,Natural / Dry,0.1100,fair
Brazil,Catuai,Semi-washed / Semi-pulped,0.1100,fair
Brazil,Mundo Novo,Natural / Dry,0.0200,good
Brazil,Peaberry,Semi-washed / Semi-pulped,0.1100,fair
Brazil,Mundo Novo,Natural / Dry,0.1200,good
Brazil,Mundo Novo,Natural / Dry,0.1200,fair
Brazil,Mundo Novo,Natural / Dry,0.1200,great
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,0.1100,good
Brazil,Catuai,Natural / Dry,0.0000,good
Brazil,Bourbon,Pulped natural / honey,0.1100,poor
Brazil,Yellow Bourbon,Natural / Dry,0.1200,poor
Brazil,Yellow Bourbon,other,0.1200,poor
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,0.1000,fair
Brazil,Catuai,Natural / Dry,0.1100,good
Brazil,Catuai,Natural / Dry,0.1100,poor
Brazil,Catuai,Semi-washed / Semi-pulped,0.1100,great
Brazil,Catuai,Washed / Wet,0.0900,fair
Brazil,Mundo Novo,Natural / Dry,0.1100,good
Brazil,Mundo Novo,Natural / Dry,0.1100,great
Brazil,Mundo Novo,Natural / Dry,0.1100,good
Brazil,Catuai,Natural / Dry,0.1100,poor
Brazil,Mundo Novo,Natural / Dry,0.1100,fair
Brazil,Bourbon,Natural / Dry,0.1100,good
Brazil,Bourbon,Natural / Dry,0.1100,fair
Brazil,Bourbon,Natural / Dry,0.0000,fair
Brazil,Bourbon,Natural / Dry,0.1000,fair
Brazil,Bourbon,Natural / Dry,0.0000,good
Brazil,Bourbon,Natural / Dry,0.1100,good
Brazil,Bourbon,Natural / Dry,0.1100,fair
Brazil,Bourbon,Natural / Dry,0.1100,fair
Brazil,Bourbon,Natural / Dry,0.0700,great
Brazil,Bourbon,Natural / Dry,0.1100,great
Brazil,Bourbon,Natural / Dry,0.1100,good
Brazil,Bourbon,Natural / Dry,0.1100,fair
Brazil,Bourbon,Natural / Dry,0.1100,good
Brazil,Bourbon,Natural / Dry,0.1100,poor
Brazil,Bourbon,Natural / Dry,0.1200,great
Brazil,Bourbon,Natural / Dry,0.1100,great
Brazil,Bourbon,Natural / Dry,0.0200,great
Brazil,Bourbon,Natural / Dry,0.0000,good
Brazil,Bourbon,Natural / Dry,0.1100,good
Brazil,Bourbon,Natural / Dry,0.0000,poor
Brazil,Bourbon,Natural / Dry,0.1100,good
Brazil,Bourbon,Natural / Dry,0.1100,great
Brazil,Bourbon,Natural / Dry,0.1100,good
Brazil,Bourbon,Natural / Dry,0.1100,good
Brazil,Bourbon,Natural / Dry,0.1100,fair
Brazil,Bourbon,Natural / Dry,0.0200,good
Brazil,Bourbon,Natural / Dry,0.0000,fair
Brazil,Bourbon,Natural / Dry,0.1100,good
Brazil,Bourbon,Natural / Dry,0.1100,good
Brazil,Bourbon,Natural / Dry,0.0000,good
Brazil,Bourbon,Semi-washed / Semi-pulped,0.1100,great
Brazil,Bourbon,Semi-washed / Semi-pulped,0.1100,great
Brazil,Bourbon,Semi-washed / Semi-pulped,0.0000,good
Brazil,Bourbon,Semi-washed / Semi-pulped,0.1200,good
Brazil,Bourbon,Semi-washed / Semi-pulped,0.1200,fair
Brazil,Bourbon,Semi-washed / Semi-pulped,0.0000,poor
Brazil,Bourbon,Washed / Wet,0.1000,fair
Brazil,Bourbon,Washed / Wet,0.0000,great
Brazil,Catuai,Natural / Dry,0.1200,great
Brazil,Catuai,Semi-washed / Semi-pulped,0.1200,good
Brazil,Catuai,Semi-washed / Semi-pulped,0.1000,great
Brazil,Catuai,Semi-washed / Semi-pulped,0.1200,good
Brazil,Mundo Novo,Natural / Dry,0.0000,fair
Brazil,Mundo Novo,Natural / Dry,0.1200,fair
Brazil,Mundo Novo,Natural / Dry,0.1200,good
Brazil,Mundo Novo,Natural / Dry,0.1200,poor
