country,variety,process,moisture,elevation,target
Brazil,Mundo Novo,Natural / Dry,0.1100,low,fair
Brazil,Bourbon,Semi-washed / Semi-pulped,0.0000,mid,fair
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,0.1200,mid,great
Brazil,Catuai,Natural / Dry,0.1100,low,fair
Brazil,Catuai,Natural / Dry,0.1100,low,poor
Brazil,Catuai,Natural / Dry,0.0000,mid,good
Brazil,Catuai,Natural / Dry,0.1200,low,great
Brazil,Catuai,Natural / Dry,0.1100,low,fair
Brazil,Catuai,Semi-washed / Semi-pulped,0.1100,low,fair
Brazil,Mundo Novo,Natural / Dry,0.0200,low,good
Brazil,Peaberry,Semi-washed / Semi-pulped,0.1100,low,fair
Brazil,Mundo Novo,Natural / Dry,0.1200,low,good
Brazil,Mundo Novo,Natural / Dry,0.1200,low,fair
Brazil,Mundo Novo,Natural / Dry,0.1200,low,great
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,0.1100,mid,good
Brazil,Catuai,Natural / Dry,0.0000,low,good
Brazil,Bourbon,Pulped natural / honey,0.1100,low,poor
Brazil,Yellow Bourbon,Natural / Dry,0.1200,mid,poor
Brazil,Yellow Bourbon,other,0.1200,mid,poor
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,0.1000,mid,fair
Brazil,Catuai,Natural / Dry,0.1100,low,good
Brazil,Catuai,Natural / Dry,0.1100,low,poor
Brazil,Catuai,Semi-washed / Semi-pulped,0.1100,low,great
Brazil,Catuai,Washed / Wet,0.0900,low,fair
Brazil,Mundo Novo,Natural / Dry,0.1100,low,good
Brazil,Mundo Novo,Natural / Dry,0.1100,low,great
Brazil,Mundo Novo,Natural / Dry,0.1100,low,good
Brazil,Catuai,Natural / Dry,0.1100,low,poor
Brazil,Mundo Novo,Natural / Dry,0.1100,low,fair
Brazil,Bourbon,Natural / Dry,0.1100,low,good
Brazil,Bourbon,Natural / Dry,0.1100,low,fair
Brazil,Bourbon,Natural / Dry,0.0000,low,fair
Brazil,Bourbon,Natural / Dry,0.1000,low,fair
Brazil,Bourbon,Natural / Dry,0.0000,low,good
Brazil,Bourbon,Natural / Dry,0.1100,low,good
Brazil,Bourbon,Natural / Dry,0.1100,low,fair
Brazil,Bourbon,Natural / Dry,0.1100,low,fair
Brazil,Bourbon,Natural / Dry,0.0700,mid,great
Brazil,Bourbon,Natural / Dry,0.1100,low,great
Brazil,Bourbon,Natural / Dry,0.1100,low,good
Brazil,Bourbon,Natural / Dry,0.1100,low,fair
Brazil,Bourbon,Natural / Dry,0.1100,low,good
